Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
5.0,30.0,-75.0,45.0,30.0,-60.0,0.27791685210013145
5.0,30.0,-60.0,60.0,-15.0,-75.0,0.7652137848567033
5.0,30.0,-45.0,45.0,15.0,-90.0,0.1200063648221336
5.0,30.0,-30.0,45.0,-60.0,45.0,1.5008259385417766
5.0,30.0,-30.0,45.0,-30.0,45.0,0.3776442192184376
5.0,30.0,-15.0,60.0,15.0,60.0,0.5065569002287127
5.0,30.0,30.0,30.0,45.0,-75.0,1.08873934517346
5.0,30.0,45.0,60.0,-30.0,-75.0,0.5785381914723048
5.0,30.0,45.0,60.0,30.0,60.0,0.24320996010780524
5.0,30.0,60.0,45.0,45.0,-90.0,0.3310904344809597
5.0,45.0,-75.0,45.0,15.0,60.0,0.4828685709064519
5.0,45.0,-75.0,45.0,60.0,75.0,0.6233274288036732
5.0,45.0,-45.0,30.0,-45.0,-90.0,0.39718415479388663
5.0,45.0,-45.0,30.0,-15.0,45.0,0.5187238867367882
5.0,45.0,-45.0,30.0,0.0,-75.0,1.054943586913814
5.0,45.0,-30.0,30.0,45.0,-90.0,0.8341179456826134
5.0,45.0,-15.0,30.0,45.0,-60.0,0.6966167727441817
5.0,45.0,-15.0,45.0,30.0,-60.0,1.2459062974130342
5.0,45.0,15.0,45.0,45.0,-45.0,0.3129502789324413
5.0,45.0,45.0,30.0,15.0,-45.0,0.4229717838230429
5.0,45.0,60.0,30.0,-30.0,-90.0,0.13348304497121097
5.0,45.0,60.0,60.0,-30.0,-75.0,1.2197433192943008
5.0,60.0,-75.0,45.0,30.0,-90.0,0.7954606240835143
5.0,60.0,-60.0,30.0,45.0,30.0,0.3667369960562611
5.0,60.0,-60.0,45.0,-60.0,60.0,0.9767923832619733
5.0,60.0,-15.0,45.0,-30.0,60.0,0.27615392425926616
5.0,60.0,30.0,30.0,-45.0,45.0,0.41576735471721477
5.0,60.0,30.0,45.0,15.0,-30.0,0.29807105582238663
5.0,60.0,30.0,60.0,-75.0,-45.0,0.35300044316232637
5.0,60.0,45.0,45.0,30.0,75.0,0.8115021547876579
5.0,60.0,60.0,30.0,-75.0,60.0,0.5861454476776319
5.0,60.0,60.0,30.0,30.0,75.0,0.35522554850292315
6.0,30.0,-75.0,45.0,-30.0,-75.0,0.42841100951925615
6.0,30.0,-75.0,45.0,0.0,-30.0,0.688399142871345
6.0,30.0,-60.0,30.0,0.0,-45.0,0.41008507622270063
6.0,30.0,-45.0,45.0,-75.0,45.0,0.5604873099080502
6.0,30.0,-30.0,45.0,30.0,75.0,0.4325509864652027
6.0,30.0,-30.0,60.0,-60.0,-75.0,0.7908717032241329
6.0,30.0,-30.0,60.0,-45.0,45.0,0.47889024195798124
6.0,30.0,0.0,60.0,0.0,-60.0,1.1420704775091683
6.0,30.0,15.0,45.0,45.0,-60.0,0.5650181083150138
6.0,30.0,60.0,60.0,-30.0,45.0,0.441832823752806
6.0,45.0,-75.0,30.0,-60.0,45.0,0.49032776804280326
6.0,45.0,-60.0,30.0,-60.0,45.0,0.48422885607333543
6.0,45.0,-60.0,30.0,45.0,45.0,0.36092631609232306
6.0,45.0,-60.0,60.0,-45.0,-30.0,0.7980383153218562
6.0,45.0,-45.0,30.0,-45.0,30.0,0.8205896073835781
6.0,45.0,-15.0,45.0,-75.0,-30.0,1.555441438575711
6.0,45.0,0.0,45.0,-75.0,-45.0,0.46035853118701114
6.0,45.0,0.0,60.0,60.0,-60.0,0.32739815524515614
6.0,45.0,0.0,60.0,60.0,-30.0,1.058955426330873
6.0,45.0,15.0,60.0,30.0,60.0,0.6360512974242264
6.0,45.0,45.0,45.0,30.0,-90.0,0.5953460555944694
6.0,45.0,60.0,30.0,60.0,-90.0,2.4491120347077246
6.0,60.0,-75.0,45.0,-30.0,-30.0,0.4366808567968745
6.0,60.0,-45.0,30.0,-15.0,60.0,0.19908790557983544
6.0,60.0,-45.0,60.0,-30.0,45.0,0.3432708353306082
6.0,60.0,-30.0,60.0,30.0,-90.0,0.4973006365746154
6.0,60.0,-15.0,30.0,45.0,30.0,0.24587960881008022
6.0,60.0,-15.0,60.0,15.0,45.0,1.4119883382174105
6.0,60.0,15.0,30.0,-75.0,60.0,0.3984518573597799
7.0,30.0,-75.0,30.0,-75.0,-30.0,0.413588130459079
7.0,30.0,-75.0,30.0,-30.0,-75.0,0.26704462278110264
7.0,30.0,-60.0,60.0,0.0,30.0,0.4154719193114335
7.0,30.0,-45.0,45.0,-75.0,75.0,0.3503053095547795
7.0,30.0,-45.0,60.0,60.0,30.0,0.2461405504745041
7.0,30.0,-30.0,30.0,0.0,60.0,0.37995928811660235
7.0,30.0,-30.0,30.0,15.0,30.0,0.6216209132239717
7.0,30.0,-15.0,45.0,-75.0,-45.0,0.7106647319474644
7.0,30.0,-15.0,45.0,-75.0,30.0,0.7828503792374474
7.0,30.0,0.0,30.0,15.0,30.0,0.6500751433079338
7.0,30.0,30.0,45.0,45.0,-75.0,0.3546058962564811
7.0,30.0,30.0,60.0,15.0,-90.0,0.5913738778135437
7.0,30.0,45.0,45.0,-15.0,-30.0,0.7605101978651843
7.0,30.0,45.0,45.0,15.0,75.0,0.2674484016563005
7.0,30.0,60.0,30.0,-15.0,75.0,0.7455255626457027
7.0,45.0,-60.0,45.0,-30.0,60.0,0.2388683608324189
7.0,45.0,-60.0,60.0,-15.0,-30.0,0.2580100937095506
7.0,45.0,15.0,30.0,0.0,60.0,0.4450351223213002
7.0,45.0,15.0,30.0,45.0,30.0,0.3936282734975241
7.0,45.0,15.0,60.0,-15.0,75.0,0.7696288719363463
7.0,45.0,30.0,30.0,-30.0,75.0,0.7551217978153533
7.0,45.0,30.0,45.0,-75.0,-90.0,0.8498768425201363
7.0,45.0,45.0,45.0,0.0,-45.0,0.4026484647502064
7.0,45.0,60.0,45.0,60.0,-75.0,0.6351196747133518
7.0,60.0,-75.0,30.0,-45.0,-30.0,0.258992444686498
7.0,60.0,-75.0,30.0,0.0,-75.0,0.4475063895471332
7.0,60.0,-75.0,45.0,-15.0,-90.0,0.3162143796874117
7.0,60.0,-60.0,30.0,15.0,75.0,0.6864136965444922
7.0,60.0,-30.0,45.0,-60.0,-60.0,0.6971412133816303
7.0,60.0,-30.0,45.0,-60.0,45.0,0.37407114723352514
7.0,60.0,-30.0,60.0,-30.0,60.0,0.6478831612018614
7.0,60.0,0.0,30.0,60.0,75.0,0.5047563177946334
7.0,60.0,15.0,30.0,0.0,30.0,0.26026846249048335
7.0,60.0,15.0,45.0,30.0,60.0,1.5287714563553567
7.0,60.0,30.0,60.0,-60.0,-30.0,0.5282473172987713
7.0,60.0,45.0,45.0,60.0,-75.0,0.2175670981198612
7.0,60.0,45.0,60.0,15.0,-30.0,0.5480979950014782
7.0,60.0,60.0,45.0,0.0,30.0,1.02215254442331
8.0,30.0,-60.0,60.0,-30.0,-75.0,0.476457046814055
8.0,30.0,-60.0,60.0,-30.0,30.0,0.2485365909642255
8.0,30.0,-60.0,60.0,15.0,-60.0,0.5009078224721754
8.0,30.0,-45.0,30.0,-30.0,-30.0,0.317548369817226
8.0,30.0,-30.0,30.0,-45.0,-45.0,0.751768668634141
8.0,30.0,-30.0,30.0,60.0,-60.0,0.11581717549963061
8.0,30.0,-15.0,60.0,15.0,-60.0,0.4130905501044919
8.0,30.0,0.0,60.0,-75.0,-30.0,0.8996226612530954
8.0,30.0,15.0,30.0,-30.0,-75.0,1.151209508855511
8.0,30.0,15.0,60.0,45.0,75.0,0.48589864513043673
8.0,45.0,-60.0,30.0,45.0,-30.0,0.663061752119874
8.0,45.0,-45.0,60.0,15.0,60.0,1.2711858186756797
8.0,45.0,-30.0,45.0,0.0,-75.0,0.4152559836294516
8.0,45.0,-15.0,30.0,-30.0,-45.0,0.1771324881612146
8.0,45.0,-15.0,30.0,15.0,-45.0,0.8495156880378586
8.0,45.0,-15.0,45.0,15.0,-90.0,1.2706044624147834
8.0,45.0,-15.0,60.0,-15.0,30.0,0.28097051088831265
8.0,45.0,0.0,45.0,-60.0,-90.0,0.31157167891481863
8.0,45.0,0.0,45.0,-45.0,60.0,0.4590047562953825
8.0,45.0,0.0,60.0,-60.0,-45.0,0.5632061282986455
8.0,45.0,15.0,30.0,45.0,-60.0,0.34526803102808257
8.0,45.0,15.0,45.0,-75.0,-75.0,0.39766053658343653
8.0,45.0,15.0,45.0,0.0,45.0,0.7327990743360516
8.0,45.0,15.0,60.0,-60.0,45.0,0.29044826134286267
8.0,45.0,15.0,60.0,-45.0,-75.0,0.8249173209816613
8.0,45.0,30.0,30.0,30.0,60.0,0.8879107936072169
8.0,45.0,45.0,30.0,-15.0,45.0,0.4893081917913599
8.0,45.0,45.0,30.0,15.0,-60.0,0.5567023035115306
8.0,45.0,45.0,30.0,30.0,-90.0,0.07803998543615083
8.0,45.0,60.0,60.0,15.0,30.0,0.5726405807413635
8.0,60.0,-75.0,45.0,-60.0,-75.0,0.36615969222759687
8.0,60.0,-75.0,45.0,30.0,-30.0,0.35628351301891925
8.0,60.0,-60.0,45.0,0.0,75.0,1.6892342022092603
8.0,60.0,-30.0,45.0,-60.0,45.0,0.15342773965223855
8.0,60.0,-15.0,30.0,-45.0,-75.0,0.28172241288726835
8.0,60.0,-15.0,30.0,15.0,-75.0,0.5657490090137427
8.0,60.0,-15.0,60.0,45.0,-90.0,0.39394911303495195
8.0,60.0,0.0,45.0,-15.0,-60.0,0.5767798404857974
8.0,60.0,15.0,30.0,45.0,-30.0,0.44717522515792746
8.0,60.0,15.0,60.0,-45.0,-75.0,1.7377868553887084
8.0,60.0,15.0,60.0,15.0,30.0,0.8744405286771723
8.0,60.0,30.0,45.0,60.0,-30.0,0.8404272192011525
8.0,60.0,45.0,60.0,-30.0,-90.0,0.6243886401933757
9.0,30.0,-60.0,60.0,-75.0,75.0,0.6523671365763685
9.0,30.0,-60.0,60.0,0.0,-75.0,0.5346162649541283
9.0,30.0,-45.0,30.0,30.0,60.0,0.41961513182628196
9.0,30.0,-45.0,45.0,-60.0,-30.0,0.288349362127584
9.0,30.0,-30.0,30.0,-75.0,-60.0,0.47225079001526293
9.0,30.0,-30.0,60.0,15.0,-45.0,0.5112787783235245
9.0,30.0,-15.0,60.0,30.0,-60.0,0.9911633875040206
9.0,30.0,-15.0,60.0,45.0,-90.0,0.7865311211833208
9.0,30.0,0.0,45.0,0.0,-75.0,0.527940716237368
9.0,30.0,0.0,45.0,60.0,-75.0,0.42431164842171704
9.0,30.0,0.0,45.0,60.0,30.0,0.35376982807626184
9.0,30.0,0.0,60.0,-45.0,60.0,0.7433532188367348
9.0,30.0,45.0,30.0,-45.0,-90.0,0.4254698663753332
9.0,30.0,45.0,60.0,15.0,-45.0,0.20303897279785632
9.0,30.0,45.0,60.0,45.0,30.0,0.58756963099909
9.0,30.0,60.0,45.0,-60.0,45.0,0.5114865526490077
9.0,30.0,60.0,60.0,0.0,60.0,2.1229556126043803
9.0,45.0,-75.0,30.0,-60.0,-90.0,0.5061350121618445
9.0,45.0,-75.0,60.0,-75.0,75.0,2.1704094354705763
9.0,45.0,-60.0,30.0,-30.0,-45.0,0.43839085958461305
9.0,45.0,-60.0,30.0,60.0,-75.0,0.8037009009645472
9.0,45.0,-45.0,60.0,45.0,-75.0,0.6814414724048626
9.0,45.0,0.0,45.0,-75.0,-75.0,0.7719771482910481
9.0,45.0,15.0,30.0,-45.0,-45.0,0.5183728667027186
9.0,45.0,15.0,30.0,-15.0,45.0,0.5448801187137629
9.0,45.0,15.0,45.0,-45.0,-60.0,0.5074989139721294
9.0,45.0,30.0,30.0,-45.0,-75.0,2.0715493027782927
9.0,45.0,30.0,60.0,-45.0,-45.0,0.9634245828738531
9.0,60.0,-75.0,60.0,45.0,60.0,0.1322714564467476
9.0,60.0,-60.0,45.0,-60.0,-60.0,0.19363649543261605
9.0,60.0,-60.0,45.0,60.0,-75.0,0.6491049407163767
9.0,60.0,-60.0,60.0,-75.0,-90.0,0.6534761542228108
9.0,60.0,-60.0,60.0,45.0,-45.0,0.7244657034519119
9.0,60.0,-15.0,30.0,-60.0,60.0,0.5438177534147917
9.0,60.0,0.0,60.0,-60.0,75.0,0.6263824090288567
9.0,60.0,15.0,60.0,45.0,75.0,1.6085740414731935
9.0,60.0,30.0,60.0,-45.0,-60.0,0.6444927619709152
9.0,60.0,45.0,45.0,15.0,45.0,1.14350789599634
9.0,60.0,60.0,30.0,-30.0,60.0,0.546833869818596
9.0,60.0,60.0,45.0,-75.0,-30.0,0.3404919504242983
5.0,30.0,-60.0,60.0,45.0,-75.0,0.40371132607997495
5.0,30.0,-30.0,30.0,-45.0,-75.0,1.3680613196499067
5.0,30.0,-30.0,45.0,-60.0,60.0,0.31795638586440766
5.0,30.0,-30.0,60.0,-15.0,45.0,0.38809820226588715
5.0,30.0,-15.0,60.0,-45.0,-30.0,0.39787053421140056
5.0,30.0,0.0,45.0,-45.0,-75.0,0.6675158082757066
5.0,30.0,0.0,60.0,-60.0,-75.0,0.7633681345656317
5.0,30.0,15.0,30.0,-75.0,60.0,0.43804521965008103
5.0,30.0,15.0,30.0,0.0,60.0,0.47207559316812037
5.0,30.0,15.0,30.0,30.0,-90.0,0.5954334445150549
5.0,30.0,15.0,45.0,15.0,75.0,0.20650791041665295
5.0,30.0,30.0,30.0,-75.0,-30.0,0.2619115225010882
5.0,30.0,30.0,30.0,30.0,-30.0,0.398488857307022
5.0,30.0,30.0,30.0,45.0,60.0,0.43200441818908697
5.0,30.0,30.0,45.0,-75.0,75.0,0.5272123552133015
5.0,30.0,30.0,60.0,15.0,30.0,0.5452493793324957
5.0,30.0,45.0,45.0,-15.0,-90.0,0.4033246327803388
5.0,30.0,45.0,60.0,-60.0,45.0,1.066794367022153
5.0,30.0,60.0,45.0,60.0,75.0,0.6897495056188724
5.0,45.0,-75.0,30.0,15.0,60.0,0.6052109984005536
5.0,45.0,-75.0,60.0,-75.0,-60.0,0.9301930562730837
5.0,45.0,-75.0,60.0,15.0,-30.0,0.19416016885108575
5.0,45.0,-60.0,30.0,30.0,-75.0,0.5742870671712742
5.0,45.0,-60.0,30.0,60.0,-90.0,1.3975553257418385
5.0,45.0,-45.0,30.0,-75.0,-60.0,0.5026820781639806
5.0,45.0,-30.0,60.0,15.0,45.0,1.8235993862488427
5.0,45.0,0.0,30.0,30.0,-60.0,0.43252906643463424
5.0,45.0,0.0,60.0,0.0,-30.0,0.46361610708829487
5.0,45.0,15.0,60.0,-45.0,-90.0,0.8239381353541542
5.0,45.0,15.0,60.0,-30.0,75.0,0.5840499328585018
5.0,45.0,30.0,45.0,-60.0,75.0,0.7923968446174442
5.0,45.0,45.0,45.0,60.0,60.0,0.729604686599429
5.0,45.0,60.0,30.0,-75.0,-90.0,0.5588629518133628
5.0,45.0,60.0,60.0,-75.0,45.0,0.15857028849637608
5.0,60.0,-75.0,30.0,-45.0,75.0,0.3463597082444094
5.0,60.0,-75.0,45.0,45.0,-30.0,0.33578503130575976
5.0,60.0,-75.0,60.0,0.0,30.0,0.4643849269081753
5.0,60.0,-60.0,30.0,-30.0,-45.0,0.8412243346894162
5.0,60.0,-60.0,45.0,15.0,-30.0,0.2860201406302412
5.0,60.0,-60.0,60.0,-75.0,-30.0,0.5048919464491453
5.0,60.0,-60.0,60.0,0.0,-75.0,0.49125508455756495
5.0,60.0,-60.0,60.0,60.0,60.0,0.81049715885139
5.0,60.0,-45.0,45.0,-60.0,30.0,0.34211656232711185
5.0,60.0,-30.0,30.0,-15.0,-30.0,0.17369034834282002
5.0,60.0,-30.0,30.0,15.0,-90.0,0.5119741479785686
5.0,60.0,-30.0,45.0,45.0,-75.0,1.152102039688796
5.0,60.0,-15.0,60.0,45.0,-30.0,0.5083361796839724
5.0,60.0,0.0,30.0,-75.0,60.0,0.2703804088243262
5.0,60.0,0.0,60.0,-15.0,-90.0,0.5659934852506376
5.0,60.0,15.0,30.0,-30.0,45.0,0.47126147089613674
